Path	Filename	HiFspp	LoFspp	Consensus	ByVote	#Maj	#Accpt	MeanClssn	DiscrProb	Clssn if<Thr	DP if<Thr	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	1st	2nd	3rd	4th	<--All spp in sqnc classified with a DP>0.75 in order of prevalence	ParentDir	NextDirUp	FileLngth	Version	Filter	Preemphasis	MaxSegLngth	DP Thr	AccpQuality	AccpQualForTally	Max#CallsConsidered
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00111.wav	H5NF191M00111.wav																					H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00118.wav	H5NF191M00118.wav																					H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00122.wav	H5NF191M00122.wav																					H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00123.wav	H5NF191M00123.wav															22.73						H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00127-Tabr.wav	H5NF191M00127-Tabr.wav		1	Tabr	Tabr	1	1	Tabr	0.9998			20.40		25.19		7.69	Tabr					H5NF191N1	H5NF191	2999.93	3.22	25 kHz ant-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00133-Tabr.wav	H5NF191M00133-Tabr.wav		1	Tabr	Tabr	1	1	Tabr	0.9997			22.78		17.25		1.63	Tabr					H5NF191N1	H5NF191	2999.93	3.22	25 kHz ant-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00137.wav	H5NF191M00137.wav	1														6.49						H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00138.wav	H5NF191M00138.wav																					H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00141.WAV	H5NF191M00141.wav	1								Myyu/Myca	0.719/0.226					6.63						H5NF191N1	H5NF191	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H5NF191:H5NF191N1:H5NF191M00143-Tabr.wav	H5NF191M00143-Tabr.wav		1	Tabr	Tabr	1	1	Tabr	0.9932			22.54		16.24		9.45	Tabr					H5NF191N1	H5NF191	2999.93	3.22	25 kHz ant-katydid	medium	8.0 sec	0.90	0.80	0.20	8
