"","LONG","LAT","MYYU","MYCA","MYCI","MYVO","MYLU","PAHE","LABO","MYEV","ANPA","EPFU","LANO","MYTH","TABR","LACI","COTO","EUMA","EUPE"
"1",-121.47158,39.8414,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
"2",-120.75518,40.16163,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3",-120.81617,40.21116,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4",-121.3286,39.93301,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"5",-120.66755,39.88726,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"6",-120.65998,40.01299,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"7",-120.76662,39.94068,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"8",-121.14384,39.81863,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
"9",-120.38555,40.02063,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0
"10",-120.57217,40.19218,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0
"11",-120.62178,40.17303,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0
"12",-120.26261,39.86057,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"13",-120.59138,39.6929,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0
"14",-120.36968,40.04793,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0
"15",-120.54942,39.81866,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
"16",-120.61807,39.93687,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
"17",-121.21246,40.16164,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0
"18",-121.25504,40.01896,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"19",-121.35343,39.90181,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"20",-121.40697,39.826443,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"21",-121.2009,39.7197,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0
"22",-121.06383,40.05494,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"23",-120.95788,40.00171,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"24",-120.53036,39.70433,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"25",-121.01048,39.98629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",-121.02957,39.9749,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",-121.0792,40.11581,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
"28",-121.151514,40.131138,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"29",-121.22009,40.06634,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
"30",-121.09054,40.15781,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1
"31",-121.01045,40.0132,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"32",-121.34205,39.78817,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"33",-121.14058,39.75164,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0
"34",-121.38789,39.78447,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",-120.70183,39.87967,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0
"36",-120.73995,40.2607,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0
"37",-120.43128,40.13114,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"38",-120.79711,39.81104,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1
"39",-120.62558,40.23024,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
"40",-120.36269,40.03206,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1
"41",-121.06018,39.85697,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
