"","Species","Burn.intensity.basal","Burn.intensity.basal^2","Burn.intensity.Canopy","Burn.intensity.Canopy^2","fire_dist","forest_dist","Total"
"1","MYYU","1","1","0","0","0","1","3"
"2","MYCA","0","0","0","0","1","0","1"
"3","MYCI","0","0","0","1","0","0","1"
"4","MYVO","0","0","0","0","0","0","0"
"5","MYLU","0","0","1","1","0","1","3"
"6","LABL","0","0","0","0","1","0","1"
"7","MYEV","0","0","0","0","1","0","1"
"8","ANPA","0","0","1","0","0","0","1"
"9","MYTH","0","0","0","0","1","1","2"
"10","COTO","0","0","0","0","0","0","0"
"11","PAHE","0","0","0","0","0","1","1"
"12","EPFU","0","0","1","1","1","0","3"
"13","LANO","0","0","0","1","1","0","2"
"14","TABR","1","0","0","0","1","1","3"
"15","LACI","0","0","0","0","1","0","1"
"16","EUMA","0","1","0","0","1","0","2"
"17","EUPE","1","0","0","0","0","0","1"
"18","Total","3","2","3","4","9","5",""
