"","number.per.site"
"Myyu",25
"Myca",94
"Myci",17
"Myvo",18
"Mylu",45
"Pahe",4
"Labo",17
"Myev",84
"Anpa",10
"Epfu",42
"Lano",65
"Myth",18
"Tabr",75
"Laci",56
"Coto",14
"Euma",5
"Eupe",7
