"","Species","Occupancy Fire","Occupancy No Fire","P-value"
"1","MYYU",0.837353583577912,0.231361319432253,1.0924393544133e-17
"2","MYCA",0.90122213554686,0.717995120906792,9.43536975265435e-58
"3","MYCI",0.203281318443012,0.122330982123469,2.63061180947792e-05
"4","MYLU",0.529646863769807,0.267111066736338,1.63903999537549e-12
"5","LABL",0.41386604323876,0.19596980997917,1.11118354344267e-73
"6","MYEV",0.861325804370595,0.648211852612925,7.59071404160559e-60
"7","ANPA",0.191839220289728,0.0713979320121904,5.6233287428338e-14
"8","MYTH",0.230294869534457,0.159679244431801,0.00125388832249573
"9","PAHE",0.344204317456278,1.99296877452806e-68,1.5044520175186e-06
"10","EPFU",0.644599247486001,0.365762709012028,6.67275033810238e-09
"11","LANO",0.725517985170977,0.486885395598041,8.92519955104866e-17
"12","TABR",0.713607958453847,0.583805890552455,1.45896820736834e-06
"13","LACI",0.659954009016798,0.547423900505754,9.1848368160368e-66
"14","EUMA",0.782070838961258,0.183505267194269,3.85091046770928e-13
"15","EUPE",0.912600019140231,0.000645092557082674,6.40614669746618e-31
