Path	Filename	HiFspp	LoFspp	Consensus	ByVote	#Maj	#Accpt	MeanClssn	DiscrProb	Clssn if<Thr	DP if<Thr	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	1st	2nd	3rd	4th	<--All spp in sqnc classified with a DP>0.75 in order of prevalence	ParentDir	NextDirUp	FileLngth	Version	Filter	Preemphasis	MaxSegLngth	DP Thr	AccpQuality	AccpQualForTally	Max#CallsConsidered
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00098-Myca.wav	H2NF128n1M00098-Myca.wav	1		Myca	Myca	7	7	Myca	0.9932			49.82	1.01	2.77	0.50	11.89	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00099.wav	H2NF128n1M00099.wav	1			MycaMyci	3	5	Myca	0.9837			48.40	0.72	2.88	0.16	9.22	Myca	Myci				H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00100.wav	H2NF128n1M00100.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00101.wav	H2NF128n1M00101.wav	1														5.02						H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00102.wav	H2NF128n1M00102.wav	1				1	1					37.69		2.12		9.68	Myev					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00103-Myev.wav	H2NF128n1M00103-Myev.wav	1		Myev	Myev	5	5	Myev	1.0000			36.01	0.75	2.25	0.19	10.18	Myev					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00104-Myca.wav	H2NF128n1M00104-Myca.wav	1		Myca	Myca	7	7	Myca	0.9664			51.09	1.21	2.45	0.26	8.87	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00105.wav	H2NF128n1M00105.wav	1														15.11						H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00106.wav	H2NF128n1M00106.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00107.wav	H2NF128n1M00107.wav	1				1	1	Myca	0.9748			50.45		2.01		14.84	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00108.wav	H2NF128n1M00108.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00109-Myev.wav	H2NF128n1M00109-Myev.wav	1		Myev	Myev	3	3	Myev	0.9940			38.03	0.61	2.34	0.17	8.83	Myev					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00110.wav	H2NF128n1M00110.wav	1				1	1	Myca	0.9693			51.59		2.43		15.97	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00111.WAV	H2NF128n1M00111.wav	1								Myca/Myci	0.651/0.337					10.65						H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00112-Myca.wav	H2NF128n1M00112-Myca.wav	1		Myca	Myca	7	7	Myca	0.9675			51.85	1.38	2.34	0.18	11.91	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00113-Myca.wav	H2NF128n1M00113-Myca.wav	1		Myca	Myca	2	2	Myca	0.9572			49.17	0.64	2.38	0.26	8.89	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00114.wav	H2NF128n1M00114.wav	1														8.84						H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00115-Myca.wav	H2NF128n1M00115-Myca.wav	1		Myca	Myca	6	7	Myca	0.9788			54.07	1.40	2.74	0.40	11.22	Myca	Labl				H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00116-Myca.wav	H2NF128n1M00116-Myca.wav	1		Myca	Myca	7	7	Myca	0.9865			49.97	3.07	2.84	0.61	11.02	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00117.WAV	H2NF128n1M00117.wav	1				1	2			Myca/Myyu	0.548/0.450	50.66		3.14		11.79	Myca	Pahe				H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00118.wav	H2NF128n1M00118.wav	1				1	1	Myca	0.9492			49.71		2.41		11.99	Myyu	Myca				H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00119.wav	H2NF128n1M00119.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00120.wav	H2NF128n1M00120.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00121.wav	H2NF128n1M00121.wav	1														12.09						H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00122.wav	H2NF128n1M00122.wav	1				1	1	Myca	0.9316			48.45		2.35		7.50	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00123-Myca.wav	H2NF128n1M00123-Myca.wav	1		Myca	Myca	3	3	Myca	0.9967			51.36	0.39	2.22	0.26	12.06	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00124-Myca.wav	H2NF128n1M00124-Myca.wav	1		Myca	Myca	6	6	Myca	0.9805			49.28	1.26	2.62	0.23	8.78	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00125-Myca.wav	H2NF128n1M00125-Myca.wav	1		Myca	Myca	6	6	Myca	0.9862			49.32	1.64	2.93	0.25	11.76	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00126-Myca.wav	H2NF128n1M00126-Myca.wav	1		Myca	Myca	3	3	Myca	0.9806			51.34	2.38	2.20	0.17	8.59	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00127-Myca.wav	H2NF128n1M00127-Myca.wav	1		Myca	Myca	2	2	Myca	0.9725			49.33	0.74	2.24	0.11	8.18	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00128-Myca.wav	H2NF128n1M00128-Myca.wav	1		Myca	Myca	8	8	Myca	0.9810			50.14	1.80	2.67	0.25	11.47	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00129-Myca.wav	H2NF128n1M00129-Myca.wav	1		Myca	Myca	6	6	Myca	0.9894			50.43	1.02	2.67	0.20	10.83	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00130-Myca.wav	H2NF128n1M00130-Myca.wav	1		Myca	Myca	3	3	Myca	0.9735			49.74	0.90	2.67	0.36	10.70	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00131-Myca.wav	H2NF128n1M00131-Myca.wav	1		Myca	Myca	2	2	Myca	0.9845			49.97	0.90	2.52	0.06	11.28	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00132.wav	H2NF128n1M00132.wav	1														10.85						H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00133-Myca.wav	H2NF128n1M00133-Myca.wav	1		Myca	Myca	5	5	Myca	0.9862			49.51	0.48	2.45	0.31	13.31	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00134-Myca.wav	H2NF128n1M00134-Myca.wav	1		Myca	Myca	3	3	Myca	0.9904			51.14	1.24	2.31	0.08	11.94	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00135-Myca.wav	H2NF128n1M00135-Myca.wav	1		Myca	Myca	8	8	Myca	0.9927			50.07	1.48	2.50	0.21	9.53	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00136-Myca.wav	H2NF128n1M00136-Myca.wav	1		Myca	Myca	5	5	Myca	0.9915			51.63	1.81	2.39	0.35	9.98	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00137-Myca.wav	H2NF128n1M00137-Myca.wav	1		Myca	Myca	2	2	Myca	0.9728			49.02	0.94	2.67	0.45	9.62	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00138-Myca.wav	H2NF128n1M00138-Myca.wav	1		Myca	Myca	5	5	Myca	0.9734			49.07	0.29	2.32	0.22	11.41	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00139-Myca.wav	H2NF128n1M00139-Myca.wav	1		Myca	Myca	2	2	Myca	0.9664			48.42	1.06	3.24	0.16	6.60	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00140-Myca.wav	H2NF128n1M00140-Myca.wav	1		Myca	Myca	4	4	Myca	0.9760			48.47	1.13	2.62	0.22	8.97	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00141-Myca.wav	H2NF128n1M00141-Myca.wav	1		Myca	Myca	7	7	Myca	0.9887			51.59	0.61	3.03	0.32	11.26	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00142.wav	H2NF128n1M00142.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00143-Myca.wav	H2NF128n1M00143-Myca.wav	1		Myca	Myca	8	8	Myca	0.9722			48.65	0.48	2.68	0.27	11.02	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00144-Myca.wav	H2NF128n1M00144-Myca.wav	1		Myca	Myca	4	4	Myca	0.9500			49.06	0.82	3.53	0.90	12.35	Myca	Myyu				H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00145-Myca.wav	H2NF128n1M00145-Myca.wav	1		Myca	Myca	8	8	Myca	0.9825			49.69	1.26	2.66	0.41	9.59	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00146-Myca.wav	H2NF128n1M00146-Myca.wav	1		Myca	Myca	8	8	Myca	0.9842			50.15	0.94	3.14	0.25	8.33	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00147-Myca.wav	H2NF128n1M00147-Myca.wav	1		Myca	Myca	5	5	Myca	0.9696			50.05	1.40	3.18	0.59	7.42	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00148-Myca.wav	H2NF128n1M00148-Myca.wav	1		Myca	Myca	8	8	Myca	0.9818			50.24	1.55	2.61	0.50	9.47	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00149.WAV	H2NF128n1M00149.wav	1								Myca/Coto	0.729/0.122					9.88						H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00150-Myci.wav	H2NF128n1M00150-Myci.wav	1		Myci	Myci	2	2	Myci	0.9999			43.34	0.91	2.34	0.01	8.79	Myci					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00151-Myci.wav	H2NF128n1M00151-Myci.wav	1		Myci	Myci	2	2	Myci	0.9999			45.45	0.02	2.75	0.45	5.15	Myci					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00152-Myci.wav	H2NF128n1M00152-Myci.wav	1		Myci	Myci	3	3	Myci	0.9997			43.03	0.91	2.91	0.34	9.74	Myci					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00153.wav	H2NF128n1M00153.wav	1				1	1	Myca	0.9903			48.31		2.62		9.64	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00154-Myca.wav	H2NF128n1M00154-Myca.wav	1		Myca	Myca	2	2	Myca	0.9334			48.89	0.36	2.09	0.03	8.23	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00155.wav	H2NF128n1M00155.wav	1														9.07						H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00156-Myca.wav	H2NF128n1M00156-Myca.wav	1		Myca	Myca	4	4	Myca	0.9901			49.49	0.91	2.48	0.43	3.76	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00157.wav	H2NF128n1M00157.wav																					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00158.WAV	H2NF128n1M00158.wav	1								Myca/Myvo	0.813/0.087					11.67	Myca	Myvo				H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00159.wav	H2NF128n1M00159.wav	1				1	1	Myca	0.9084			48.64		3.54		7.09	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00160-Myca.wav	H2NF128n1M00160-Myca.wav	1		Myca	Myca	2	2	Myca	0.9691			50.35	0.45	2.35	0.16	4.40	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00161.wav	H2NF128n1M00161.wav	1				1	1	Myca	0.9270			52.57		2.70		7.30	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00162-Myca.wav	H2NF128n1M00162-Myca.wav	1		Myca	Myca	4	4	Myca	0.9392			48.59	0.46	2.96	0.31	8.74	Myca	Mylu				H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00163-Myca.wav	H2NF128n1M00163-Myca.wav	1		Myca	Myca	4	4	Myca	0.9849			50.14	0.30	2.80	0.35	12.00	Myca	Myyu				H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00164-Myca.wav	H2NF128n1M00164-Myca.wav	1		Myca	Myca	4	4	Myca	0.9737			50.26	0.94	2.84	0.54	11.17	Myca	Myyu				H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H2NF128:H2NF128n1:H2NF128n1M00165.wav	H2NF128n1M00165.wav	1				1	1	Myca	0.9888			49.85		2.37		7.58	Myca					H2NF128n1	H2NF128	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
