Path	Filename	HiFspp	LoFspp	Consensus	ByVote	#Maj	#Accpt	MeanClssn	DiscrProb	Clssn if<Thr	DP if<Thr	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	1st	2nd	3rd	4th	<--All spp in sqnc classified with a DP>0.75 in order of prevalence	ParentDir	NextDirUp	FileLngth	Version	Filter	Preemphasis	MaxSegLngth	DP Thr	AccpQuality	AccpQualForTally	Max#CallsConsidered
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00917-Myca.wav	H1NF111n3M00917-Myca.wav	1		Myca	Myca	3	3	Myca	0.9617			52.02	0.54	2.29	0.17	8.99	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00918.wav	H1NF111n3M00918.wav																					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00919.wav	H1NF111n3M00919.wav	1				1	1	Myca	0.9516			51.19		2.71		6.99	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00920-Myca.wav	H1NF111n3M00920-Myca.wav	1		Myca	Myca	3	3	Myca	0.9939			50.21	0.07	2.44	0.39	7.80	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00923.wav	H1NF111n3M00923.wav																					Night3	H1NF111	2999.93	3.22	25 kHz ant-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00929.wav	H1NF111n3M00929.wav															6.83						Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00936-Myev.wav	H1NF111n3M00936-Myev.wav	1		Myev	Myev	2	2	Myev	1.0000			34.64	4.33	2.58	0.34	7.28	Myev					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00940-Myca.wav	H1NF111n3M00940-Myca.wav	1		Myca	Myca	2	2	Myca	0.9806			51.08	1.59	2.70	0.08	7.86	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00949.wav	H1NF111n3M00949.wav																					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00956-Myca.wav	H1NF111n3M00956-Myca.wav	1		Myca	Myca	2	2	Myca	0.9614			54.04	2.33	2.41	0.11	6.80	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00957-Myca.wav	H1NF111n3M00957-Myca.wav	1		Myca	Myca	5	5	Myca	0.9791			50.27	0.71	2.17	0.19	7.77	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00960-Myca.wav	H1NF111n3M00960-Myca.wav	1		Myca	Myca	3	3	Myca	0.9454			48.69	0.52	2.32	0.07	9.53	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00964-Myca.wav	H1NF111n3M00964-Myca.wav	1		Myca	Myca	7	7	Myca	0.9822			49.61	0.81	2.56	0.40	5.80	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00965.wav	H1NF111n3M00965.wav	1														13.94						Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00966-Myca.wav	H1NF111n3M00966-Myca.wav	1		Myca	Myca	2	2	Myca	0.9971			50.19	0.84	2.70	0.29	6.91	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00969-Myca.wav	H1NF111n3M00969-Myca.wav	1		Myca	Myca	2	2	Myca	0.9609			47.36	0.88	3.02	0.75	5.36	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00970.wav	H1NF111n3M00970.wav	1				1	1					46.67		3.62		5.99	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00972-Myca.wav	H1NF111n3M00972-Myca.wav	1		Myca	Myca	2	2	Myca	0.9567			46.94	0.61	2.97	0.12	10.10	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00973.wav	H1NF111n3M00973.wav	1														10.71						Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00977.wav	H1NF111n3M00977.wav	1				1	1					49.19		2.09		6.49	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00978.wav	H1NF111n3M00978.wav	1				1	1					51.08		2.11		7.29	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00979.wav	H1NF111n3M00979.wav	1				1	1	Myca	0.9782			50.60		3.14		4.81	Myca					Night3	H1NF111	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H1NF111:Night3:H1NF111n3M00988.wav	H1NF111n3M00988.wav																					Night3	H1NF111	2999.93	3.22	25 kHz ant-katydid	medium	8.0 sec	0.90	0.80	0.20	8
