Path	Filename	HiFspp	LoFspp	Consensus	ByVote	#Maj	#Accpt	MeanClssn	DiscrProb	Clssn if<Thr	DP if<Thr	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	1st	2nd	3rd	4th	<--All spp in sqnc classified with a DP>0.75 in order of prevalence	ParentDir	NextDirUp	FileLngth	Version	Filter	Preemphasis	MaxSegLngth	DP Thr	AccpQuality	AccpQualForTally	Max#CallsConsidered
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06777-Myth.wav	H3F144n3M06777-Myth.wav		1	Myth	Myth	3	4	Myth	0.9969			26.11	2.99	5.03	0.76	6.71	Myth	Myev	Anpa			H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06781.wav	H3F144n3M06781.wav																					H3F144n3	H3F144	2999.93	3.22	25 kHz ant-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06783.wav	H3F144n3M06783.wav																					H3F144n3	H3F144	2999.93	3.22	25 kHz ant-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06786.wav	H3F144n3M06786.wav		1													3.83						H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06789.wav	H3F144n3M06789.wav		1			1	1	Coto	1.0000			21.16		3.17		6.10	Coto					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06799.wav	H3F144n3M06799.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06800.wav	H3F144n3M06800.wav																					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06845.wav	H3F144n3M06845.wav		1													2.12						H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06847-Myev.wav	H3F144n3M06847-Myev.wav	1		Myev	Myev	7	7	Myev	0.9989			37.07	1.22	2.81	0.50	7.69	Myev					H3F144n3	H3F144	2999.93	3.22	5 kHz	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06864.wav	H3F144n3M06864.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06867.wav	H3F144n3M06867.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06869.wav	H3F144n3M06869.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06875.wav	H3F144n3M06875.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06890.wav	H3F144n3M06890.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06895.wav	H3F144n3M06895.wav		1													3.19						H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06897.wav	H3F144n3M06897.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06904.wav	H3F144n3M06904.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06920.wav	H3F144n3M06920.wav	1				1	1					41.84		3.60		10.30	Myvo					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06924.wav	H3F144n3M06924.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06931.wav	H3F144n3M06931.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06941.wav	H3F144n3M06941.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06942.wav	H3F144n3M06942.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06954.wav	H3F144n3M06954.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06965.wav	H3F144n3M06965.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06975.wav	H3F144n3M06975.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06981.wav	H3F144n3M06981.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06983.wav	H3F144n3M06983.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06987.wav	H3F144n3M06987.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06990.wav	H3F144n3M06990.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M06991.wav	H3F144n3M06991.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M07000.wav	H3F144n3M07000.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M07003.wav	H3F144n3M07003.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M07005.wav	H3F144n3M07005.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M07007.wav	H3F144n3M07007.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M07008.wav	H3F144n3M07008.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M07014.wav	H3F144n3M07014.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
Corynorhinus:Users:Derek:Audio2016:H3F144:H3F144n3:H3F144n3M07015.wav	H3F144n3M07015.wav																					H3F144n3	H3F144	2999.93	3.22	30 kHz anti-katydid	medium	8.0 sec	0.90	0.80	0.20	8
